"id","name","hiragana","recipes_count"
5122,"チキンコンソメ","ちきんこんそめ",3
5132,"ナンプラー","なんぷらー",9
5142,"香菜","かな",5
5152,"モンゴウイカ","もんごういか",1
5162,"葱","ねぎ",6
5172,"エバミルク","えばみるく",1
5182,"鶏油","ちーゆ",2
5192,"チキンスープ","ちきんすーぷ",2
5202,"鶏ガラスープ","とりがらすーぷ",12
5212,"青ねぎ","あおねぎ",3
5222,"黒酢","くろず",2
5232,"細ねぎ","ほそねぎ",1
5242,"カシューナッツ","かしゅーなっつ",2
5252,"唐辛子","とうがらし",5
5262,"干し海老","ほしえび",3
5272,"干し海老の戻し汁","ほしえびのもどしじる",1
5282,"具材の煮汁","ぐざいのにじる",1
5292,"竹の皮","たけのかわ",1
5302,"蒸し麺","むしめん",1
5312,"XO醤","ひしお",1
5322,"とりがらスープ","とりがらすーぷ",12
5332,"チキンパウダー","ちきんぱうだー",1
5342,"酒醸","しゅじょう",1
5352,"むきエビ","むきえび",5
5362,"イカ","いか",6
5372,"ヤングコーン","やんぐこーん",1
5382,"生きくらげ","なまきくらげ",1
5392,"中華スープ","ちゅうかすーぷ",1
5402,"板ゼラチン","いたぜらちん",5
5412,"レモン果汁","れもんかじゅう",3
5422,"緑ズッキーニ","みどりずっきーに",1
5432,"黄ズッキーニ","きずっきーに",1
5442,"なす","なす",5
5452,"赤ミニトマト","あかみにとまと",1
5462,"黄ミニトマト","きみにとまと",1
5472,"バジルの葉","ばじるのは",2
5482,"種無し黒オリーブ","たねなしくろおりーぶ",1
5492,"サーモン","さーもん",1
5502,"ジャガイモ","じゃがいも",28
5512,"ピクルス","ぴくるす",4
5522,"パン","ぱん",1
5532,"牛フィレ肉","ぎゅうひれにく",3
5542,"インゲン","いんげん",7
5552,"生クリームもしくはサワークリーム","なま",2
5562,"とうもろこし","とうもろこし",1
5572,"フォンドボー","ふぉんどぼー",2
5582,"ポロ葱","ぽろねぎ",2
5592,"若鶏","わかどり",1
5602,"丁子","ちょうじ",1
5612,"香味野菜","こうみやさい",1
5622,"粗塩","あらしお",7
5632,"ポロねぎ","ぽろねぎ",2
5642,"かぶ","かぶ",2
5652,"黒こしょう","くろこしょう",11
5662,"ズッキーニ","ずっきーに",7
5672,"バジル","ばじる",10
5682,"エクストラバージンオリーブオイル","えくすとらばーじんおりーぶおいる",6
5692,"マダイ","まだい",3
5702,"グレープフルーツ果汁","かじゅう",1
5712,"柚子こしょう","ゆず",2
5722,"紅たで","べにたで",1
5732,"グレープフルーツ","ぐれーぷふるーつ",1
5742,"チャービル","ちゃーびる",1
5752,"チェリートマト","ちぇりーとまと",1
5762,"鶏レバー","とり",1
5772,"マデラ酒","しゅ",1
5782,"溶かしバター","とかし",2
5792,"バゲット","ばげっと",4
5802,"いちじくなどドライフルーツ","いちじくなどどらいふるーつ",1
5812,"ロメインレタス","ろめいんれたす",1
5822,"アンチョビペースト","あんちょびぺーすと",1
5832,"ジャイアントコーン","じゃいあんとこーん",1
5842,"塩、こしょう","しお、こしょう",255
5852,"白ワインヴィネガー","しろわいんぶぃねがー",255
5862,"フォン・ド・ヴォー","ふぉん・ど・ゔぉー",1
5872,"バター、サラダ油","ばたー、さらだあぶら",1
5882,"コルニッション","こるにっしょん",1
5892,"サラダオイル","さらだおいる",2
5902,"コンソメスープ","こんそめすーぷ",1
5912,"パン・ド・カンパーニュ","ぱんどかんぱーにゅ",1
5922,"グリュエールチーズ","ぐりゅえーるちーず",1
5932,"グラニュー糖","ぐらにゅーとう",64
5942,"ドライイースト","どらいいーすと",3
5952,"アンチョビ","あんちょび",2
5962,"オニオンキャラメル","おにおんきゃらめる",1
5972,"ブラックオリーブ","ぶらっくおりーぶ",4
5982,"豚肉のミンチ","ぶたにくのみんち",1
5992,"豚ばら肉","ぶたばらにく",8
6002,"コニャック","こにゃっく",1
6012,"レーズン","れーずん",6
6022,"鶏肉のレバー","とりにくのればー",1
6032,"魚のあら","さかなのあら",1
6042,"ピュアオリーブオイル","ぴゅあおりーぶおいる",1
6052,"ペルノー","ぺるのー",1
6062,"サフランパウダー","さふらんぱうだー",3
6072,"粉末チキンブイヨン","ふんまつちきんぶいよん",1
6082,"ホタテの貝柱","ほたてのかいがら",1
6092,"真鯛","まだい",3
6102,"ほうぼう","ほうぼう",1
6112,"有頭エビ","ゆうとうえび",4
6122,"魚のスープ","さかなのすーぷ",1
6132,"グリュイエールチーズ","ぐりゅいえーるちーず",4
6142,"白身魚","しろみざかな",5
6152,"付け合せの野菜","つけあわせのやさい",1
6162,"鶏胸肉","とりむねにく",7
6172,"フォンブラン","ふぉんぶらん",2
6182,"生椎茸","なましいたけ",2
6192,"まいたけ","まいたけ",2
6202,"動物性生クリーム","どうぶつせいなまくりーむ",2
6212,"ホタテ","ほたて",2
6222,"春キャベツ","はるきゃべつ",1
6232,"茹でたけのこ","ゆでたけのこ",1
6242,"白ワインビネガー","しろわいんびねがー",14
6252,"白こしょう","しろこしょう",13
6262,"粒黒コショウ","つぶくろこしょう",1
6272,"トマトジュース","とまとじゅーす",1
6282,"赤ワインビネガー","あかわいんびねがー",3
6292,"シブレット","しぶれっと",1
6302,"クリームチーズ","くりーむちーず",5
6312,"米油","こめあぶら",1
6322,"ディル","でぃる",2
6332,"ケッパー","けっぱー",2
6342,"ビスケット","びすけっと",1
6352,"いくら","いくら",1
6362,"セルフィーユ","せるふぃーゆ",1
6372,"スピルリナ","すぴるりな",1
6382,"鶏のだし","とりのだし",1
6392,"合挽き肉","あいびきにく",2
6402,"エルブドプロヴァンス","えるぶどぷろゔぁんす",1
6412,"フレッシュタイム","ふれっしゅたいむ",2
6422,"ひよこ豆の粉","ひよこまめのこな",2
6432,"ツナムース","つなむーす",1
6442,"ヤギのチーズ","やぎのちーず",1
6452,"ハーブ","はーぶ",2
6462,"青魚","あおざかな",1
6472,"フヌイユ","ふぬいゆ",1
6482,"ポワロー","ぽわろー",2
6492,"トマトコンサントレ","とまとこんさんとれ",1
6502,"サフラン","さふらん",3
6512,"バケット","ばけっと",3
6522,"スープ・ド・ポワソン","すーぷどぽわそん",1
6532,"たかのつめ","たかのつめ",5
6542,"Vオリーブオイル","おりーぶおいる",83
6552,"レタス・サニーレタス","れたすさにーれたす",1
6562,"トレビス","とれびす",1
6572,"ルッコラ","るっこら",2
6582,"アンディーブ","あんでぃーぶ",1
6592,"じゃが芋","じゃがいも",28
6602,"アンチョビフィレ","あんちょびふぃれ",4
6612,"ツナ缶","つなかん",2
6622,"コーン","こーん",1
6632,"ヴァージンオイル","ゔぁーじんおいる",1
6642,"赤ワインヴィネガー","あかわいんゔぃねがー",1
6652,"粒なしマスタード","つぶなしますたーど",1
6662,"塩・コショウ","しおこしょう",4
6672,"白胡椒","しろこしょう",13
6682,"黒胡椒ホール","くろこしょうほーる",1
6692,"牛すじ肉","ぎゅうすじにく",1
6702,"トマトソース","とまとそーす",7
6712,"フォン・ブラン・ド・ヴォライユ","ふぉん・ぶらん・ど・ゔぉらいゆ",1
6722,"クスクス","くすくす",2
6732,"オリーブ","おりーぶ",1
6742,"ミント","みんと",8
6752,"セルバチコ","せるばちこ",1
6762,"イカげそ","いかげそ",1
6772,"タバスコ","たばすこ",1
6782,"エリンギ","えりんぎ",1
6792,"牛こま切れ肉・バラ肉","ぎゅうこまきれにく・ばらにく",1
6802,"エシャロット","えしゃろっと",2
6812,"レモンジュース","れもんじゅーす",1
6822,"魚","さかな",1
6832,"フュメドポワソン","ふゅめどぽわそん",1
6842,"原塩","げんえん",1
6852,"ちりめんキャベツ","ちりめんきゃべつ",2
